"Mine Name","Subsidiary","Type","Efficiency (Production/Capacity)","Quality of Ore (Grade)","Risk Severity","Reason for Risk"
"Bhatdih","BCCL","Underground","Non-producing (Suspended)","Coking Coal","Critical","Steep gradients and Degree III gassiness; site of a 2006 firedamp explosion killing 50. Extreme explosion risk necessitating prior degasification."
"Murlidih (20/21 Pits)","BCCL","Underground","Minimal/Suspended","GCV Grade B/C (Non-Coking)","Critical","Severe history of spontaneous combustion (2009 belt incline fire) resulting in water inundation through fissure zones; requires stringent sealing protocols."
"Pootkee Balihari","BCCL","Underground","~0.68 MT/year","Coking Coal","Critical","Plagued by geological faults and both active and dormant fires; highly susceptible to sudden surface subsidence over densely inhabited areas."
"Gopalichak","BCCL","Mixed (UG/OC)","Variable","Coking Coal","Critical","Multiple seams (XI to XVI) are actively burning; demands advanced thermal GIS mapping to continuously redefine safe extraction boundaries."
"Kenduadih","BCCL","Opencast / UG","Variable","Coking Coal","Critical","Dormant and active fires across multiple seams; presents a constant, severe risk of lethal gas emissions (CO, H2S) and sudden sinkhole formation."
"Amalgamated NTST Kujama","BCCL","Opencast","~3.01 MT/year","Coking Coal","High","Opencast operations specifically designed to excavate and isolate burning coal seams, requiring specialized heat-resistant equipment and strict worker safety protocols."
"Amalgamated Block II","BCCL","Opencast","~2.14 MT/year","Coking Coal","High","Intense surface mining to control legacy fires; extreme risk of exposing HEMM operators to sudden thermal flare-ups and toxic smoke."
"Bhowra (North & South)","BCCL","Mixed","~0.85 MT/year","Coking Coal","High","Site of the first recorded Jharia fire (1916); continuous environmental and gas emission monitoring is critical to prevent secondary explosions."
"Sudamdih (Shaft & Incline)","BCCL","Underground","~0.35 MT/year","GCV ~4293/5075","High","Deep shaft operations require strict monitoring of the main mechanical ventilator (MMV) and continuous logging of the Ventilation Efficiency Quotient (VEQ)."
"Patherdih","BCCL","Mixed","~0.35 MT/year","Coking Coal","High","Ongoing ecological restoration and biological reclamation require drone-based GIS verification to ensure environmental compliance."
"Bastacolla","BCCL","Opencast","~0.97 MT/year","Coking Coal","High","Working in fire-prone zones; AI must track historical void data to prevent heavy machinery from collapsing into unmapped galleries."
"Cluster-III Group","BCCL","Opencast","~0.62 MT/year","Coking Coal","High","Aggregated small patches requiring uniform contractor safety standards and digitized grievance tracking to ensure equitable labor practices."
"Ena Colliery","BCCL","Opencast","~1.27 MT/year","Coking Coal","High","Proximity to urban areas demands strict AI monitoring of blasting-induced ground vibration and acoustic emissions to protect civilian infrastructure."
"Amrapali OC","CCL","Opencast","~8.75 MT/year","GCV ~G10/G11","High","Massive scale requires stringent monitoring of heavy truck traffic, coal dust dispersion, and the risk of spontaneous heating in massive stockpiles."
"Magadh OC","CCL","Opencast","~8.57 MT/year","GCV ~G10/G11","High","Expansive operational footprint; requires continuous drone-based survey monitoring and automated weighbridge validation to prevent overloading."
"Ashoka OC","CCL","Opencast","~2.43 MT/year","GCV ~4526 (G10)","Medium","Extensive concurrent backfilling and plantation efforts must be monitored via satellite imagery to maintain statutory environmental clearance."
"Piparwar OC","CCL","Opencast","High volume integrated","GCV ~4763 (G9)","Medium","Features integrated washeries and CPPs; the AI platform must track complex water management systems and effluent discharge quality."
"North Urimari OC","CCL","Opencast","~1.89 MT/year","GCV ~4100 (G11)","Medium","Proximity to river systems demands continuous telemetric monitoring of surface water run-off and potential heavy metal contamination."
"Amalgamated Konar Khasmahal","CCL","Opencast","~1.78 MT/year","Thermal Grade","Medium","Requires strict monitoring of blasting parameters to prevent projectile damage and ensure slope stability in deepening quarries."
"Karo OC","CCL","Opencast","~1.43 MT/year","GCV ~4620 (G9)","Medium","Complex geological structures require continuous updating of Principal Hazards Management Plans (PHMPs) to prevent highwall failures."
"KBP OC","CCL","Opencast","~1.25 MT/year","Thermal Grade","Medium","Focus on automated equipment maintenance logs to reduce downtime and ensure continuous safe operation of earth-moving fleets."
"Aadocm","CCL","Opencast","~2.61 MT/year","Thermal Grade","Medium","Standard operational hazards necessitating daily digital inspection reporting via the multilingual mobile application."
"Adriyala Shaft","SCCL","Underground","~1.47 MT/year","GCV ~G11","Critical","One of India's deepest, highly mechanized longwall mines; faces extreme strata stress, complex ventilation requirements, and significant methane risks."
"KTK OCP-II","SCCL","Opencast","High volume","GCV G5 to G11","Medium","Extensive multi-seam extraction requires vigilant slope monitoring, digital traffic control, and advanced dust suppression protocols."
"Shantikhani","SCCL","Underground","Moderate","GCV ~G10","High","Prone to strata instability; requires continuous roof support monitoring using resin capsules and digital strata convergence sensors."
"RG OCP-3 Extn","SCCL","Opencast","High volume","GCV ~G7/G11","Medium","High volume dispatch necessitates automated gate entry logs, RFID verification, and real-time fatigue monitoring for equipment operators."
"VK OC Mine","SCCL","Opencast","Moderate","GCV G4/G8","Medium","Extraction of higher quality (G4) coal requires precise grade control and blending management to prevent spontaneous heating during transit."
"Amalgamated Yekona I&II","WCL","Opencast","~2.75 MT/year","Thermal Grade","High","The scale of amalgamation requires careful management of old voids, altered hydrology, and complex heavy equipment routing."
"Mungoli Nirguda OC","WCL","Opencast","~1.84 MT/year","Thermal Grade","Medium","Requires continuous ambient air quality monitoring and strict noise regulation compliance to mitigate impacts on surrounding communities."
"Neeljay Deep OC","WCL","Opencast","~1.58 MT/year","Thermal Grade","High","Deep opencast classification dictates acute slope stability risks, highwall management, and complex groundwater pumping requirements."
"Adasa UG to OC","WCL","Mixed","~0.71 MT/year","Thermal Grade","High","Conversion projects face the severe risk of excavating into unknown historical underground voids, leading to sudden sinkholes and machinery entrapment."
"Sasti OC","WCL","Opencast","~0.88 MT/year","GCV ~3392 (G13/G14)","Medium","Proximity to water bodies requires strict management of effluent discharge via Oil & Grease Traps and continuous water quality sampling."
"Durgapur OC","WCL","Opencast","~0.7 MT/year","Thermal Grade","Medium","Standard operational risks; platform focus should be on digital worker attendance and contractor grievance tracking."
"Bhatadi Extension OC","WCL","Opencast","~0.7 MT/year","Thermal Grade","Medium","Expansion requires automated tracking of land acquisition, environmental clearance thresholds, and rehabilitation metrics."
"Gokul OC","WCL","Opencast","~0.66 MT/year","Thermal Grade","Medium","Focus on basic digital workflow integration for statutory safety reporting and equipment maintenance logs."
"Dhankasa & Jamunia","WCL","Opencast","Variable","Thermal Grade","Medium","Aggregated smaller operations needing centralized digital oversight to ensure uniform safety compliance across scattered sites."
"Jhanjra UG","ECL","Underground","~1.54 MT/year","High Grade Non-Coking","Critical","India's largest highly mechanized underground mine (extended to 225m depth); faces severe ventilation complexities, methane risks, and strata collapse hazards."
"Rajmahal OC","ECL","Opencast","~5.24 MT/year","Thermal Grade","High","Massive scale requires strict telemetric monitoring of blasting vibrations and particulate matter dispersion to protect local habitations."
"Sonepur Bazari OC","ECL","Opencast","~3.68 MT/year","Thermal Grade","High","Extensive open-pit geometry requires 24/7 monitoring of highwall stability, groundwater management, and automated truck dispatch systems."
"Chitra OC","ECL","Opencast","~0.54 MT/year","Thermal Grade","Medium","Lower extraction rates but requires vigilant environmental monitoring and digitized safety inspection logs to maintain statutory compliance."
"G/Begunia OC","ECL","Opencast","~0.53 MT/year","Thermal Grade","Medium","Standard opencast hazards; requires integration of RFID vehicle tracking and automated weighbridge data into the central dashboard."
"Hura C OC","ECL","Opencast","~0.97 MT/year","Thermal Grade","Medium","Focus on ensuring contractor labor compliance, utilizing biometric attendance, and monitoring shift durations via the mobile application."
